student_id,cgpa,iq,placement
109,6.1,118,1
110,5.37,103,0
111,6.39,101,0
112,5.77,89,0
113,9.46,109,1
114,8.88,102,1
115,8.04,144,1
116,9.18,139,1
117,8.86,137,1
118,5.9,134,1
119,9.28,92,1
120,7.59,111,1
121,8.88,99,1
122,9.3,129,1
123,6.53,97,0
124,5.53,100,0
125,6.09,106,0
126,7.05,104,1
127,8.93,97,1
128,9.13,104,1
129,5.03,86,0
130,7.45,119,1
131,7.0,131,1
132,6.07,139,1
133,5.58,103,0
134,6.62,129,1
135,9.53,121,1
136,6.55,142,1
137,7.49,138,1
138,8.37,90,1
139,6.75,98,0
140,9.66,88,1
141,9.62,106,1
142,6.21,135,1
143,7.39,139,1
144,6.44,123,1
145,6.37,120,1
146,5.18,118,0
147,7.93,111,1
148,7.41,91,0
149,5.25,87,0
150,6.34,131,1
151,9.36,117,1
152,6.15,86,0
153,5.7,126,1
154,7.35,100,1
155,9.73,109,1
156,6.16,144,1
157,8.23,99,1
158,8.66,108,1
159,6.14,99,0
160,8.5,115,1
161,6.77,98,0
162,8.04,138,1
163,8.04,98,1
164,7.57,90,0
165,5.43,98,0
166,9.01,101,1
167,6.54,102,0
168,5.9,104,0
169,5.2,135,1
170,7.84,101,1
171,8.25,100,1
172,5.08,124,1
173,7.46,123,1
174,6.09,136,1
175,8.1,116,1
176,5.84,144,1
177,8.32,128,1
178,6.86,93,0
179,9.5,111,1
180,5.66,130,1
181,6.64,136,1
182,5.54,117,1
183,9.44,94,1
184,9.21,101,1
185,6.24,133,1
186,8.17,133,1
187,8.92,120,1
188,7.66,101,1
189,7.54,102,1
190,6.16,136,1
191,5.45,107,0
192,9.31,118,1
193,9.32,92,1
194,8.04,97,1
195,6.63,107,1
196,6.68,141,1
197,8.48,138,1
198,9.31,104,1
199,9.26,106,1
200,8.74,131,1
201,8.08,136,1
202,5.4,107,0
203,5.78,125,1
204,9.31,119,1
205,7.91,87,0
206,5.04,118,0
207,5.49,117,1
208,8.18,130,1
209,5.02,101,0
210,5.77,129,1
211,7.63,103,1
212,8.32,114,1
213,8.13,107,1
214,6.08,99,0
215,8.42,143,1
216,6.14,141,1
217,6.56,98,0
218,8.58,86,1
219,8.12,123,1
220,9.08,133,1
221,8.16,102,1
222,7.73,90,0
223,5.45,143,1
224,6.77,116,1
225,6.27,105,0
226,6.17,124,1
227,9.67,112,1
228,6.89,111,1
229,9.28,86,1
230,8.03,117,1
231,8.82,100,1
232,7.41,123,1
233,7.77,106,1
234,7.36,140,1
235,5.94,127,1
236,8.47,131,1
237,6.35,97,0
238,5.12,140,1
239,8.1,86,0
240,5.85,98,0
241,9.51,140,1
242,9.58,122,1
243,9.39,125,1
244,6.78,112,1
245,5.07,91,0
246,9.46,102,1
247,7.06,140,1
248,9.64,125,1
249,9.63,139,1
250,9.09,120,1
251,6.41,125,1
252,6.85,120,1
253,9.09,128,1
254,6.52,88,0
255,5.81,141,1
256,7.67,114,1
257,9.49,108,1
258,8.34,104,1
259,7.74,130,1
260,5.47,140,1
261,7.95,115,1
262,9.75,108,1
263,5.67,91,0
264,7.49,110,1
265,9.21,97,1
266,8.56,138,1
267,8.35,92,1
268,8.37,139,1
269,6.73,89,0
270,6.41,128,1
271,8.88,97,1
272,8.89,113,1
273,9.16,104,1
274,9.38,98,1
275,7.45,116,1
276,7.41,144,1
277,8.83,134,1
278,8.12,111,1
279,8.37,140,1
280,8.82,109,1
281,9.27,136,1
282,6.62,88,0
283,6.8,105,1
284,5.45,102,0
285,7.78,123,1
286,5.17,99,0
287,7.23,137,1
288,7.6,122,1
289,6.38,132,1
290,7.84,136,1
291,5.15,108,0
292,5.18,92,0
293,8.95,112,1
294,6.73,105,1
295,5.61,100,0
296,7.51,144,1
297,8.7,138,1
298,6.04,100,0
299,7.99,119,1
300,5.41,101,0
301,5.25,93,0
302,7.55,141,1
303,7.6,119,1
304,8.06,136,1
305,8.49,113,1
306,9.68,123,1
307,7.48,102,1
308,6.55,96,0
309,8.82,103,1
310,6.3,132,1
311,7.11,106,1
312,5.38,143,1
313,5.12,140,1
314,9.62,133,1
315,9.01,136,1
316,8.34,99,1
317,6.96,85,0
318,5.83,86,0
319,5.75,92,0
320,6.2,106,0
321,7.64,109,1
322,8.43,86,1
323,8.17,135,1
324,6.34,93,0
325,9.58,93,1
326,8.54,97,1
327,7.66,90,0
328,7.94,114,1
329,7.01,99,0
330,6.19,135,1
331,6.71,137,1
332,8.64,99,1
333,5.07,134,1
334,5.56,91,0
335,5.22,142,1
336,5.2,95,0
337,9.11,124,1
338,8.38,122,1
339,7.28,124,1
340,5.47,86,0
341,7.36,135,1
342,7.27,132,1
343,5.83,123,1
344,7.08,94,0
345,6.91,128,1
346,7.96,101,1
347,8.05,91,1
348,5.22,138,1
349,6.8,124,1
350,8.0,123,1
351,7.42,88,0
352,9.11,119,1
353,8.16,135,1
354,5.78,131,1
355,5.34,120,1
356,8.08,115,1
357,5.13,109,0
358,7.81,125,1
359,9.51,97,1
360,7.76,102,1
361,6.86,105,1
362,8.09,132,1
363,7.2,85,0
364,7.62,120,1
365,9.52,134,1
366,6.85,92,0
367,9.61,136,1
368,9.35,132,1
369,5.94,105,0
370,5.33,127,1
371,5.48,136,1
372,5.09,137,1
373,5.45,137,1
374,8.28,105,1
375,5.34,111,0
376,6.53,103,0
377,9.06,107,1
378,5.11,135,1
379,8.91,134,1
380,6.35,135,1
381,5.57,127,1
382,8.34,119,1
383,8.02,124,1
384,9.21,136,1
385,8.53,135,1
386,8.86,126,1
387,6.35,132,1
388,5.85,89,0
389,8.6,136,1
390,8.87,125,1
391,9.75,92,1
392,6.98,95,0
393,6.79,100,0
394,8.73,123,1
395,6.64,131,1
396,9.47,108,1
397,9.12,105,1
398,7.06,136,1
399,8.6,107,1
400,8.62,133,1
401,5.49,122,1
402,9.33,131,1
403,7.43,92,0
404,8.97,91,1
405,6.54,86,0
406,9.3,114,1
407,6.87,97,0
408,5.05,107,0
409,9.35,113,1
410,5.44,122,1
411,6.53,121,1
412,9.56,104,1
413,9.56,117,1
414,7.75,113,1
415,8.03,134,1
416,7.15,99,1
417,6.41,107,1
418,6.58,126,1
419,8.23,87,0
420,8.61,121,1
421,8.8,140,1
422,8.79,113,1
423,5.44,129,1
424,7.37,92,0
425,5.28,106,0
426,7.64,137,1
427,7.12,113,1
428,9.26,86,1
429,6.68,125,1
430,5.56,133,1
431,5.69,143,1
432,8.66,134,1
433,7.97,129,1
434,5.49,85,0
435,5.4,128,1
436,8.36,104,1
437,5.35,136,1
438,8.94,105,1
439,8.39,121,1
440,5.39,92,0
441,5.41,111,0
442,9.74,131,1
443,6.8,143,1
444,6.78,119,1
445,8.9,90,1
446,9.55,144,1
447,9.73,129,1
448,8.62,128,1
449,6.81,103,1
450,5.4,102,0
451,8.73,140,1
452,7.68,85,0
453,7.04,109,1
454,9.35,111,1
455,5.53,91,0
456,7.36,128,1
457,5.05,126,1
458,7.25,113,1
459,5.27,115,0
460,5.57,128,1
461,5.56,127,1
462,8.12,120,1
463,8.58,103,1
464,7.8,90,0
465,9.62,109,1
466,6.8,115,1
467,6.37,93,0
468,9.17,104,1
469,6.07,94,0
470,9.62,121,1
471,5.06,111,0
472,9.66,97,1
473,5.21,125,1
474,9.28,86,1
475,7.53,134,1
476,9.77,105,1
477,5.35,117,1
478,7.66,108,1
479,9.65,137,1
480,7.51,128,1
481,8.02,126,1
482,8.34,118,1
483,7.18,144,1
484,8.01,93,1
485,7.8,86,0
486,9.33,139,1
487,5.22,140,1
488,6.35,114,1
489,9.56,106,1
490,9.27,130,1
491,7.19,95,0
492,7.98,139,1
493,6.33,127,1
494,5.9,101,0
495,7.23,120,1
496,6.7,97,0
497,7.8,91,0
498,5.37,100,0
499,9.68,117,1
500,9.73,129,1
501,8.35,85,0
502,7.57,95,1
503,6.49,90,0
504,8.91,104,1
505,8.29,119,1
506,5.78,128,1
507,9.37,121,1
508,8.95,125,1
509,9.56,110,1
510,8.48,142,1
511,7.94,96,1
512,7.01,114,1
513,9.48,112,1
514,9.16,111,1
515,5.22,126,1
516,5.13,103,0
517,6.81,89,0
518,8.89,142,1
519,9.74,89,1
520,5.72,125,1
521,7.85,111,1
522,6.83,112,1
523,9.66,110,1
524,9.04,111,1
525,9.02,136,1
526,7.25,133,1
527,6.99,126,1
528,6.31,105,0
529,5.27,85,0
530,9.15,138,1
531,8.9,112,1
532,9.8,132,1
533,9.78,142,1
534,7.67,142,1
535,8.69,99,1
536,9.53,139,1
537,9.08,101,1
538,6.19,110,1
539,7.16,104,1
540,5.62,109,0
541,9.58,97,1
542,7.91,117,1
543,6.1,109,0
544,8.22,92,1
545,7.97,89,0
546,6.72,90,0
547,5.55,107,0
548,8.22,136,1
549,7.5,114,1
550,8.71,98,1
551,7.5,138,1
552,9.09,107,1
553,7.65,95,1
554,7.69,115,1
555,9.21,90,1
556,6.94,95,0
557,5.64,97,0
558,5.14,96,0
559,8.62,138,1
560,7.98,86,0
561,8.38,137,1
562,6.02,119,1
563,5.65,139,1
564,5.07,120,1
565,6.68,101,0
566,7.83,112,1
567,6.88,112,1
568,7.1,106,1
569,9.34,122,1
570,6.67,91,0
571,7.47,99,1
572,8.76,116,1
573,6.9,95,0
574,7.99,108,1
575,9.14,87,1
576,9.56,114,1
577,5.71,90,0
578,9.45,142,1
579,7.36,86,0
580,6.24,98,0
581,7.2,125,1
582,9.7,102,1
583,7.36,135,1
584,6.58,128,1
585,8.04,115,1
586,6.15,97,0
587,5.36,110,0
588,5.62,128,1
589,5.61,96,0
590,5.73,102,0
591,5.67,93,0
592,8.08,133,1
593,5.87,105,0
594,6.66,132,1
595,9.3,133,1
596,7.28,137,1
597,8.2,140,1
598,5.83,124,1
599,5.92,127,1
600,5.2,108,0
601,5.81,118,1
602,6.34,92,0
603,5.85,128,1
604,5.43,137,1
605,5.58,117,1
606,7.21,107,1
607,5.99,97,0
608,6.75,138,1
609,7.42,137,1
610,8.31,133,1
611,5.19,98,0
612,8.84,98,1
613,8.01,100,1
614,5.39,133,1
615,9.19,122,1
616,9.42,142,1
617,5.29,144,1
618,6.33,123,1
619,8.87,110,1
620,8.59,110,1
621,5.89,85,0
622,6.0,116,1
623,6.78,141,1
624,7.33,99,1
625,7.97,136,1
626,6.77,105,1
627,7.22,102,1
628,8.59,114,1
629,5.18,144,1
630,6.21,142,1
631,8.42,97,1
632,9.3,108,1
633,7.46,114,1
634,7.55,86,0
635,5.51,103,0
636,7.15,131,1
637,7.56,128,1
638,6.16,131,1
639,6.29,109,1
640,6.81,134,1
641,5.1,98,0
642,6.55,90,0
643,6.01,96,0
644,6.57,104,0
645,5.57,107,0
646,9.27,114,1
647,7.85,114,1
648,8.26,122,1
649,8.79,142,1
650,7.39,114,1
651,5.42,125,1
652,7.58,114,1
653,7.82,141,1
654,8.58,142,1
655,7.07,120,1
656,5.61,133,1
657,6.36,118,1
658,6.74,100,0
659,8.1,108,1
660,7.74,98,1
661,6.71,110,1
662,9.74,92,1
663,7.91,98,1
664,6.14,115,1
665,5.49,86,0
666,5.73,132,1
667,6.18,88,0
668,5.77,85,0
669,5.9,139,1
670,6.37,104,0
671,5.83,143,1
672,9.3,98,1
673,5.39,124,1
674,7.52,109,1
675,6.97,144,1
676,9.72,109,1
677,5.54,87,0
678,6.91,89,0
679,9.65,122,1
680,9.15,138,1
681,8.92,110,1
682,6.24,124,1
683,5.82,122,1
684,8.21,122,1
685,9.46,88,1
686,7.67,91,0
687,7.74,114,1
688,6.34,114,1
689,8.69,140,1
690,5.9,103,0
691,6.55,123,1
692,7.04,119,1
693,7.44,124,1
694,6.16,117,1
695,5.55,117,1
696,7.93,98,1
697,6.39,122,1
698,7.79,94,1
699,5.74,141,1
700,7.31,112,1
701,7.56,98,1
702,5.25,120,1
703,6.62,122,1
704,5.65,100,0
705,5.3,144,1
706,9.75,105,1
707,6.55,112,1
708,8.89,117,1
709,6.22,90,0
710,8.27,125,1
711,8.65,99,1
712,7.86,128,1
713,7.26,87,0
714,6.98,127,1
715,6.67,131,1
716,9.46,119,1
717,8.99,98,1
718,9.63,86,1
719,5.6,113,0
720,8.51,88,1
721,9.5,110,1
722,5.87,135,1
723,5.32,96,0
724,8.56,86,1
725,7.76,101,1
726,9.04,119,1
727,5.67,94,0
728,8.82,132,1
729,5.97,106,0
730,5.79,125,1
731,5.79,127,1
732,8.91,105,1
733,8.19,99,1
734,7.51,119,1
735,6.72,132,1
736,9.21,105,1
737,6.88,105,1
738,8.92,105,1
739,7.11,144,1
740,6.81,128,1
741,7.22,116,1
742,6.45,139,1
743,8.59,89,1
744,7.41,123,1
745,6.11,93,0
746,9.32,137,1
747,6.84,102,1
748,7.61,105,1
749,9.35,92,1
750,8.0,128,1
751,5.56,136,1
752,9.51,118,1
753,8.01,94,1
754,6.61,135,1
755,5.67,125,1
756,8.81,141,1
757,7.98,108,1
758,7.56,124,1
759,9.29,108,1
760,8.79,140,1
761,5.73,116,1
762,6.5,140,1
763,6.19,117,1
764,8.57,122,1
765,5.16,128,1
766,7.74,141,1
767,8.66,140,1
768,9.21,135,1
769,6.64,143,1
770,8.94,133,1
771,5.53,118,1
772,9.06,95,1
773,5.61,115,1
774,6.91,102,1
775,8.83,107,1
776,5.72,144,1
777,6.1,106,0
778,8.47,127,1
779,8.46,102,1
780,8.08,124,1
781,8.33,131,1
782,7.61,125,1
783,6.21,131,1
784,6.66,123,1
785,5.87,104,0
786,9.36,97,1
787,7.8,129,1
788,6.92,85,0
789,7.22,136,1
790,9.55,88,1
791,5.74,108,0
792,7.81,120,1
793,7.43,120,1
794,7.93,129,1
795,5.09,86,0
796,9.19,112,1
797,9.47,110,1
798,7.71,107,1
799,8.34,99,1
800,9.43,120,1
801,8.39,111,1
802,5.73,90,0
803,7.77,119,1
804,7.91,123,1
805,7.04,122,1
806,8.53,119,1
807,9.48,120,1
808,9.44,94,1
809,7.16,114,1
810,5.54,137,1
811,9.73,125,1
812,9.03,122,1
813,5.6,113,0
814,9.42,136,1
815,9.18,143,1
816,7.49,127,1
817,7.84,123,1
818,6.92,134,1
819,5.26,88,0
820,6.61,89,0
821,8.85,88,1
822,5.02,120,1
823,6.6,143,1
824,6.91,129,1
825,7.58,100,1
826,9.42,109,1
827,6.66,98,0
828,6.67,95,0
829,8.54,113,1
830,7.17,118,1
831,6.08,106,0
832,7.17,98,0
833,5.68,140,1
834,5.85,108,0
835,7.39,143,1
836,7.01,123,1
837,9.39,110,1
838,6.74,127,1
839,7.79,120,1
840,8.03,123,1
841,5.06,100,0
842,8.18,142,1
843,5.85,122,1
844,9.61,143,1
845,5.71,116,1
846,6.99,90,0
847,5.41,118,1
848,9.78,140,1
849,7.41,92,0
850,7.86,114,1
851,5.32,111,0
852,8.6,91,1
853,6.01,111,1
854,9.31,109,1
855,5.98,140,1
856,5.92,130,1
857,5.18,125,1
858,7.27,99,1
859,7.71,109,1
860,5.32,106,0
861,8.72,102,1
862,7.18,96,0
863,7.52,107,1
864,7.12,135,1
865,6.92,129,1
866,7.69,123,1
867,5.75,109,0
868,5.87,94,0
869,9.14,114,1
870,9.54,94,1
871,6.79,118,1
872,6.3,130,1
873,8.09,97,1
874,6.96,138,1
875,5.12,113,0
876,5.75,122,1
877,8.44,125,1
878,8.16,129,1
879,5.13,93,0
880,6.07,97,0
881,6.11,121,1
882,8.23,98,1
883,5.09,121,1
884,5.5,93,0
885,8.84,92,1
886,5.86,123,1
887,8.13,124,1
888,6.14,138,1
889,5.48,87,0
890,6.17,139,1
891,8.47,140,1
892,9.11,131,1
893,8.99,124,1
894,6.91,117,1
895,8.21,116,1
896,5.98,91,0
897,6.41,103,0
898,9.3,118,1
899,5.06,98,0
900,5.41,134,1
901,6.0,131,1
902,5.13,130,1
903,5.87,140,1
904,7.8,141,1
905,7.02,103,1
906,9.28,135,1
907,8.92,138,1
908,6.64,143,1
909,6.25,110,1
910,6.82,101,0
911,7.83,138,1
912,6.29,112,1
913,8.0,103,1
914,6.97,111,1
915,7.65,132,1
916,7.09,136,1
917,6.41,141,1
918,9.55,103,1
919,8.67,117,1
920,5.67,135,1
921,9.17,91,1
922,7.34,113,1
923,9.29,139,1
924,8.84,127,1
925,7.04,89,0
926,5.11,114,0
927,6.29,133,1
928,7.6,127,1
929,8.04,140,1
930,6.24,142,1
931,5.67,92,0
932,9.01,126,1
933,9.73,96,1
934,7.52,126,1
935,5.82,97,0
936,6.31,110,1
937,5.09,102,0
938,9.39,126,1
939,5.57,135,1
940,7.77,136,1
941,6.32,133,1
942,7.66,104,1
943,8.13,100,1
944,8.98,121,1
945,5.99,87,0
946,5.05,111,0
947,5.66,99,0
948,9.32,142,1
949,9.19,118,1
950,7.87,129,1
951,7.88,106,1
952,8.19,124,1
953,5.84,107,0
954,9.39,143,1
955,7.01,133,1
956,6.84,88,0
957,7.49,135,1
958,5.23,138,1
959,5.8,141,1
960,8.54,125,1
961,5.4,107,0
962,7.9,131,1
963,6.18,144,1
964,6.87,93,0
965,6.39,108,1
966,6.71,105,1
967,8.45,125,1
968,6.43,130,1
969,7.72,139,1
970,7.29,137,1
971,8.19,100,1
972,9.5,140,1
973,8.52,139,1
974,6.03,109,0
975,5.15,110,0
976,6.26,133,1
977,7.86,129,1
978,5.25,93,0
979,7.38,99,1
980,7.86,123,1
981,6.6,117,1
982,8.7,85,1
983,5.51,89,0
984,5.36,140,1
985,8.5,93,1
986,7.38,128,1
987,8.3,90,1
988,7.09,112,1
989,6.18,129,1
990,8.93,110,1
991,8.84,112,1
992,8.33,124,1
993,6.31,99,0
994,7.83,90,0
995,6.73,111,1
996,5.44,122,1
997,9.4,88,1
998,5.66,95,0
999,9.56,105,1
1000,7.14,114,1
1001,5.89,102,0
1002,7.6,119,1
1003,9.19,87,1
1004,8.51,96,1
1005,8.87,111,1
1006,8.16,137,1
1007,8.32,114,1
1008,9.08,105,1
1009,6.2,122,1
1010,7.35,105,1
1011,6.06,144,1
1012,9.74,122,1
1013,9.53,124,1
1014,5.19,99,0
1015,8.39,102,1
1016,9.44,136,1
1017,5.87,113,1
1018,7.73,132,1
1019,9.39,122,1
1020,5.16,144,1
1021,8.35,105,1
1022,6.43,101,0
1023,9.44,125,1
1024,9.66,135,1
1025,9.53,102,1
1026,7.28,141,1
1027,9.14,139,1
1028,9.05,121,1
1029,6.53,144,1
1030,8.98,122,1
1031,5.18,96,0
1032,7.86,95,1
1033,6.1,132,1
1034,5.58,136,1
1035,5.37,133,1
1036,8.34,104,1
1037,6.63,93,0
1038,8.48,85,0
1039,5.31,142,1
1040,6.51,87,0
1041,7.59,105,1
1042,8.8,107,1
1043,6.53,93,0
1044,8.0,138,1
1045,9.25,103,1
1046,7.96,129,1
1047,6.12,139,1
1048,5.12,130,1
1049,9.18,136,1
1050,5.1,103,0
1051,9.2,107,1
1052,7.54,111,1
1053,9.51,111,1
1054,8.83,123,1
1055,9.79,120,1
1056,6.68,96,0
1057,8.68,139,1
1058,6.93,111,1
1059,7.3,130,1
1060,8.01,118,1
1061,9.19,117,1
1062,9.72,112,1
1063,8.69,115,1
1064,7.01,116,1
1065,7.02,134,1
1066,8.54,104,1
1067,6.15,124,1
1068,5.53,119,1
1069,6.7,115,1
1070,6.38,142,1
1071,6.42,115,1
1072,6.12,122,1
1073,5.2,106,0
1074,5.09,129,1
1075,9.74,125,1
1076,7.05,93,0
1077,6.84,136,1
1078,8.26,93,1
1079,6.05,99,0
1080,9.56,97,1
1081,8.77,106,1
1082,5.43,100,0
1083,7.0,116,1
1084,9.22,86,1
1085,9.53,110,1
1086,7.24,98,1
1087,7.94,143,1
1088,5.8,122,1
1089,9.76,118,1
1090,6.11,92,0
1091,9.53,120,1
1092,8.12,105,1
1093,7.92,140,1
1094,7.46,130,1
1095,6.11,127,1
1096,5.85,140,1
1097,6.06,112,1
1098,5.89,130,1
1099,8.74,128,1
1100,6.68,132,1
1101,5.28,90,0
1102,9.65,104,1
1103,9.24,115,1
1104,9.45,117,1
1105,9.78,128,1
1106,5.83,91,0
1107,6.9,92,0
1108,8.64,93,1
1109,8.34,86,0
1110,5.74,101,0
1111,8.92,136,1
1112,6.08,129,1
1113,6.07,121,1
1114,7.58,126,1
1115,7.85,128,1
1116,7.78,101,1
1117,5.44,137,1
1118,9.21,122,1
1119,6.27,119,1
1120,5.62,144,1
1121,9.27,131,1
1122,9.59,123,1
1123,9.14,114,1
1124,8.89,90,1
1125,8.15,88,0
1126,7.64,135,1
1127,5.42,121,1
1128,6.96,119,1
1129,6.79,142,1
1130,6.25,141,1
1131,8.47,93,1
1132,7.38,90,0
1133,5.39,97,0
1134,6.06,143,1
1135,8.28,106,1
1136,5.37,112,0
1137,9.09,114,1
1138,7.38,136,1
1139,7.31,120,1
1140,7.84,86,0
1141,8.96,142,1
1142,6.67,120,1
1143,8.25,92,1
1144,7.72,129,1
1145,6.28,126,1
1146,9.22,134,1
1147,8.83,93,1
1148,8.16,85,0
1149,9.08,97,1
1150,9.16,134,1
1151,8.4,99,1
1152,9.02,116,1
1153,8.35,118,1
1154,8.26,127,1
1155,7.97,115,1
1156,8.61,98,1
1157,5.76,138,1
1158,9.23,131,1
1159,9.18,98,1
1160,5.14,132,1
1161,8.96,139,1
1162,5.62,113,0
1163,6.61,131,1
1164,8.57,103,1
1165,5.77,111,0
1166,8.93,93,1
1167,8.99,121,1
1168,7.44,121,1
1169,5.03,127,1
1170,6.38,112,1
1171,7.96,136,1
1172,9.71,141,1
1173,8.03,108,1
1174,6.25,112,1
1175,8.04,120,1
1176,7.59,136,1
1177,8.74,102,1
1178,5.51,109,0
1179,8.65,119,1
1180,7.6,88,0
1181,9.62,98,1
1182,6.64,123,1
1183,8.04,110,1
1184,9.47,92,1
1185,5.49,108,0
1186,9.5,100,1
1187,8.3,104,1
1188,5.33,99,0
1189,6.44,91,0
1190,8.4,142,1
1191,5.32,101,0
1192,7.79,106,1
1193,6.66,106,1
1194,7.98,138,1
1195,5.22,96,0
1196,9.18,102,1
1197,9.67,140,1
1198,9.65,130,1
1199,8.6,131,1
1200,5.62,99,0
1201,8.64,121,1
1202,5.12,100,0
1203,5.11,89,0
1204,6.55,86,0
1205,7.35,136,1
1206,8.7,112,1
1207,8.28,141,1
1208,7.14,125,1
1209,6.31,138,1
1210,9.79,111,1
1211,7.05,115,1
1212,7.17,125,1
1213,5.79,120,1
1214,8.82,131,1
1215,8.33,127,1
1216,6.06,85,0
1217,5.4,134,1
1218,8.27,113,1
1219,8.14,85,0
1220,6.31,92,0
1221,9.56,141,1
1222,5.73,100,0
1223,7.08,142,1
1224,9.53,112,1
1225,7.01,106,1
1226,8.06,102,1
1227,6.91,106,1
1228,6.32,125,1
1229,9.72,96,1
1230,6.96,103,1
1231,9.29,109,1
1232,6.1,134,1
1233,6.02,143,1
1234,5.15,89,0
1235,8.13,143,1
1236,6.77,118,1
1237,9.15,123,1
1238,7.27,143,1
1239,9.65,94,1
1240,5.89,131,1
1241,9.17,141,1
1242,8.73,91,1
1243,8.7,144,1
1244,9.05,121,1
1245,8.65,131,1
1246,8.01,136,1
1247,5.63,144,1
1248,5.16,136,1
1249,9.42,99,1
1250,7.96,126,1
1251,8.82,108,1
1252,7.31,110,1
1253,5.56,110,0
1254,5.6,130,1
1255,8.29,110,1
1256,7.07,142,1
1257,5.96,94,0
1258,7.36,101,1
1259,5.31,137,1
1260,7.79,98,1
1261,6.29,86,0
1262,8.83,132,1
1263,6.49,97,0
1264,7.19,111,1
1265,5.06,93,0
1266,5.35,91,0
1267,6.88,132,1
1268,7.3,94,0
1269,7.88,140,1
1270,6.4,138,1
1271,8.34,93,1
1272,9.13,106,1
1273,8.74,107,1
1274,5.19,91,0
1275,7.31,132,1
1276,5.5,93,0
1277,6.16,111,1
1278,9.74,108,1
1279,5.68,113,0
1280,7.39,101,1
1281,7.97,104,1
1282,8.37,91,1
1283,7.69,127,1
1284,5.05,124,1
1285,6.57,91,0
1286,7.49,112,1
1287,5.42,103,0
1288,6.68,104,1
1289,5.16,128,1
1290,5.38,123,1
1291,6.91,124,1
1292,5.64,91,0
1293,7.72,90,0
1294,8.31,109,1
1295,8.84,125,1
1296,5.96,143,1
1297,5.8,97,0
1298,5.5,123,1
1299,8.05,124,1
1300,8.39,106,1
1301,5.15,133,1
1302,9.49,101,1
1303,5.25,132,1
1304,7.6,106,1
1305,8.4,118,1
1306,9.18,92,1
1307,8.43,133,1
1308,8.85,129,1
1309,6.63,102,0
1310,8.91,108,1
1311,5.38,144,1
1312,9.3,138,1
1313,7.63,144,1
1314,8.92,126,1
1315,7.17,86,0
1316,8.09,86,0
1317,7.53,111,1
1318,8.51,98,1
1319,5.39,132,1
1320,5.29,123,1
1321,6.19,137,1
1322,5.77,137,1
1323,9.18,140,1
1324,6.05,96,0
1325,9.68,116,1
1326,6.62,112,1
1327,5.87,139,1
1328,8.79,112,1
1329,8.16,130,1
1330,7.39,109,1
1331,7.67,88,0
1332,8.45,110,1
1333,6.1,120,1
1334,9.78,134,1
1335,9.68,87,1
1336,8.12,85,0
1337,5.96,101,0
1338,8.27,91,1
1339,5.35,132,1
1340,5.15,89,0
1341,6.24,103,0
1342,7.22,123,1
1343,9.17,130,1
1344,8.49,118,1
1345,8.56,119,1
1346,7.04,133,1
1347,6.66,100,0
1348,6.78,124,1
1349,9.74,134,1
1350,5.19,131,1
1351,9.16,123,1
1352,7.78,111,1
1353,7.11,125,1
1354,8.48,122,1
1355,7.34,134,1
1356,9.19,134,1
1357,9.32,109,1
1358,7.02,110,1
1359,6.33,140,1
1360,7.84,98,1
